Month,Mill Operations,Mine Operations,Other Loads,Total,CO2 Emission (Mg)
1,16453818.96,5864635.172,1212541.523,23530995.655,20024.877302405
2,14933288.19,5991444.224,1104806.597,22029539.011,18747.137698361
3,17059556.35,6255978.914,1156641.241,24472176.505000003,20825.822205755
4,15944482.83,5759322.81,1070553.277,22774358.917,19380.979438366998
5,17801536.98,6809969.235,1116165.868,25727672.083,21894.248942633
6,16754310.18,6383590.014,1110788.076,24248688.27,20635.63371777
7,16668463.23,6358504.871,1370575.671,24397543.772,20762.309749972002
8,14870535.08,6042923.017,1350632.21,22264090.307,18946.740851257
9,14459906.3,5351830.661,1311956.497,21123693.458000004,17976.263132758002
10,15953341.68,5790829.105,1373664.041,23117834.826,19673.277436926
11,14752542.82,5580750.0,1432541.8,21765834.62,18522.72526162
12,15731803.41,5813916.632,1186378.692,22732098.734,19345.016022634
