Month,Power Rented (kWh),Power Rented (MWh),total ton CO2 emission/MWh
1,18610.15,18.61015,15.83723765
2,20520.48,20.52048,17.46292848
3,19439.37,19.43937,16.54290387
4,18622.54,18.62254,15.84778154
5,19012.25,19.01225,16.179424750000003
6,6024.08,6.02408,5.126492079999999
7,23449.45,23.449450000000002,19.955481950000003
8,24284.05,24.28405,20.66572655
9,23967.88,23.96788,20.39666588
10,25336.23,25.33623,21.56113173
11,21685.94,21.68594,18.454734939999998
12,23200.86,23.200860000000002,19.74393186
TOTAL,244153.28000000003,244.15328,207.77444128000002
