PLOT #,Soil Density (mg ha^-1),Soil CO2(mg ha^-1)
1,83.63274937190194,306.6534143636404
2,127.57061859170231,467.75893483624185
3,121.14606441400149,444.2022361846721
4,110.57689957221426,405.44863176478566
5,113.98757384396008,417.95443742785363
6,94.82623752291708,347.69620425069587
7,51.949420809930736,190.48120963641267
8,94.9674068038297,348.21382494737554
9,122.1775659080091,447.98440832936666
10,102.98370340191484,377.60691247368777
11,122.17487889590547,447.9745559516534
12,97.84401286752222,358.76138051424823
13,103.20741041963738,378.4271715386705
14,52.43978439806477,192.27920945957086
15,50.15364892240442,183.89671271548286
16,60.38456339684593,221.41006578843508
17,60.38456339684593,221.41006578843508
18,67.83239828571331,248.71879371428216
19,50.8550372075915,186.4684697611688
20,50.8550372075915,186.4684697611688
21,66.79684219747742,244.92175472408385
22,66.79684219747742,244.92175472408385
23,62.35564374448291,228.63736039643734
24,62.05382049689686,227.53067515528846
25,62.05382049689686,227.53067515528846
26,93.99562133599511,344.65061156531533
27,136.1483406348985,499.21058232796105
28,136.1483406348985,499.21058232796105
29,117.77435002845793,431.83928343767906
30,117.77435002845793,431.83928343767906
31,130.91068409433691,480.0058416792354
32,130.91068409433691,480.0058416792354
33,102.85628647998912,377.1397170932934
34,119.18790380796156,437.0223139625257
35,113.38325703346231,415.7386091226952
36,113.38325703346231,415.7386091226952
37,85.40005724881848,313.1335432456678
38,117.25465808811369,429.9337463230834
39,86.51868948227064,317.2351947683257
40,118.20313656143817,433.41150072527324
41,81.28673664790522,298.0513677089857
42,81.28673664790522,298.0513677089857
43,104.96847058138114,384.88439213173075
44,46.07032035760168,168.92450797787285
45,39.61135359058871,145.24162983215862
TOTAL,4133.079778784016,15154.625855541393
AVE,91.84621730631146,336.7694634564754
