MAIN PLOT #,TBD (Mg ha^-1),TREE CARBON STOCK (Mg ha^-1),TREE CO2 (Mg ha^-1),ROOT BIOMASS (Mg ha^-1),ROOT CARBON STOCK (Mg ha^-1),ROOT CO2 (Mg ha^-1)
1,45.53358565651331,20.49011354543099,75.13041633324696,8.85721800546033,3.985748102457149,14.614409709009543
2,16.341290226603142,7.353580601971414,26.963128873895187,3.738800686933736,1.682460309120181,6.169021133440665
3,8.113924857337748,3.6512661858019864,13.387976014607283,1.8748059044290117,0.8436626569930553,3.0934297423078694
4,61.90963270265093,27.85933471619292,102.15089395937402,10.952818564443035,4.9287683539993665,18.07215063133101
5,10.089519493857798,4.540283772236009,16.64770716486537,2.2109752854592895,0.9949388784566802,3.6481092210078274
6,136.40035101774447,61.380157957985006,225.06057917927834,24.137209909564792,10.861744459304155,39.826396350781906
7,166.7026873593288,75.01620931169795,275.0594341428926,29.84911221299145,13.432100495846152,49.251035151435886
8,43.35195173891083,19.50837828250987,71.53072036920285,8.383332913109772,3.772499810899397,13.832499306631124
9,7.016722117371677,3.1575249528172553,11.577591493663268,1.679624420898481,0.7558309894043164,2.7713802944824932
10,35.02812532120391,15.76265639454176,57.796406779986455,6.4345479115157325,2.8955465601820802,10.61700405400096
11,129.27218641795116,58.17248388807803,213.29910758961947,23.95732815900302,10.780797671551355,39.529591462354965
12,33.135071590610956,14.910782215774931,54.67286812450808,6.169794913366793,2.7764077110150573,10.180161607055208
13,52.93379753129288,23.8202088890818,87.34076592663328,9.544841475382182,4.295178663921982,15.7489884343806
14,204.10719775070953,91.8482389878193,336.77687628867073,36.75501719028173,16.539757735626775,60.64577836396485
15,69.28804693650676,31.179621121428053,114.32527744523617,13.338311760517119,6.002240292232702,22.00821440485324
16,108.06319932184951,48.628439694832295,178.3042788810517,18.705620012273176,8.417529005522926,30.864273020250724
17,2.70519685987439,1.2173385869434754,4.463574818792743,0.6227118376230842,0.28022032693038795,1.0274745320780891
18,20.64000147954165,9.28800066579374,34.05600244124372,3.5518126749235828,1.5983157037156126,5.860490913623912
19,1.5644636712262328,0.7040086520518049,2.5813650575232847,0.41293030407837944,0.18581863683527075,0.681335001729326
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,38.184573125189985,17.183057906335492,63.004545656563494,6.994234634850488,3.147405585682719,11.5404871475033
24,31.538812331921157,14.192465549364519,52.0390403476699,6.448422271909205,2.9017900223591426,10.639896748650187
25,0.0,0.0,0.0,0.0,0.0,0.0
26,58.652418615021524,26.39358837675969,96.77649071478554,11.069715062364287,4.98137177806393,18.265029852901073
27,97.98248158119782,44.09211671153902,161.6710946089764,18.021027405380117,8.109462332421053,29.7346952188772
28,28.20961113808845,12.694325012139803,46.545858377845946,5.198045992296614,2.339120696533477,8.576775887289415
29,149.19996649745897,67.13998492385653,246.17994472080733,26.868125060838427,12.090656277377295,44.33240635038341
30,52.67838333328796,23.705272499979575,86.91933249992512,10.282757665919458,4.627240949663755,16.966550148767105
31,157.5321239326336,70.88945576968514,259.9280044888455,29.047945422146253,13.071575439965812,47.92910994654132
32,34.963310109369594,15.733489549216314,57.68946168045983,7.294208924986879,3.282394016244096,12.035444726228352
33,26.218506863858405,11.79832808873628,43.26053632536637,5.92897803365664,2.668040115145488,9.782813755533455
34,18.56185731007118,8.35283578953203,30.627064561617445,3.4241021222417367,1.5408459550087816,5.6497685016988655
35,10.731734106605211,4.829280347972346,17.707361275898602,2.3184600420184975,1.043307018908324,3.825459069330521
36,8.872071188106716,3.9924320346480218,14.63891746037608,1.6844085852256045,0.7579838633515221,2.779274165622248
37,53.44109417182491,24.048492377321217,88.17780538351113,10.95559804724539,4.930019121260426,18.076736777954892
38,180.560360279578,81.25216212581009,297.9245944613036,34.64335543719504,15.58950994673777,57.16153647137181
39,11.058035620703516,4.976116029316582,18.245758774160798,2.310489357748157,1.0397202109866703,3.8123074402844574
40,1.8425595793365774,0.8291518107014599,3.0402233059053536,0.47721473644490153,0.21474663140020572,0.7874043151340876
41,6.6639939671288335,2.998797285207976,10.995590045762578,1.6441858469694384,0.7398836311362473,2.7129066474995738
42,1.5503029440621923,0.6976363248279865,2.557999857702617,0.40925516028210196,0.18416482212694588,0.6752710144654682
43,12.994654641303063,5.84759458858638,21.44118015815006,3.0165912508605985,1.3574660628872692,4.977375563919988
44,70.71674635928518,31.822535861678336,116.68263149282055,13.083229304739534,5.887453187132793,21.58732835282024
45,0.0,0.0,0.0,0.0,0.0,0.0
