plot number,low,mid,high
1,55.1,65,63.7
2,115.4,84.2,73.5
3,87,121.8,79.3
4,73.8,73.3,100.7
5,96.2,81.1,80.3
6,56,78.5,77.3
7,45.4,64.5,57.3
8,83.9,64.4,66.7
9,102.6,95.3,115.2
10,73.8,80.2,74.6
11,82.4,89.1,88.8
12,141.2,133.3,133.9
13,133.8,135,139.2
14,127.8,95.9,135.5
15,100.4,105.6,121.1
16,115.9,110.6,153.9
17,115.9,110.6,153.9
18,153.3,127.7,141.2
19,90.9,96.3,128.3
20,90.9,96.3,128.3
21,138.9,131.8,117.9
22,138.9,131.8,117.9
23,139.9,156,132.7
24,140.1,141.4,146.3
25,140.1,141.4,146.3
26,63.3,45.6,90.9
27,108.1,138.1,107.2
28,108.1,138.1,107.2
29,92.7,100.2,99.4
30,92.7,100.2,99.4
31,87,95.4,107.4
32,87,95.4,107.4
33,71.2,61.6,99.2
34,83.3,100.8,84.7
35,57.3,86.7,106.6
36,57.3,86.7,106.6
37,119.2,110.1,122.3
38,131.3,131.4,112.9
39,98.8,71.8,83
40,98.8,71.8,83
41,59.6,62.3,73.5
42,59.6,62.3,73.5
43,92.6,79.7,77.2
44,122.3,126.4,125.3
45,98.9,109.3,112.3
