PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

MAIN PLOT #,TBD (Mg ha^-1),TREE CARBON STOCK (Mg ha^-1),TREE CO2 (Mg ha^-1)
1,45.53358565651331,20.49011354543099,75.13041633324696
2,16.341290226603142,7.353580601971414,26.963128873895187
3,8.113924857337748,3.6512661858019864,13.387976014607283
4,61.90963270265093,27.85933471619292,102.15089395937402
5,10.089519493857798,4.540283772236009,16.64770716486537
6,136.40035101774447,61.380157957985006,225.06057917927834
7,166.7026873593288,75.01620931169795,275.0594341428926
8,43.35195173891083,19.50837828250987,71.53072036920285
9,7.016722117371677,3.1575249528172553,11.577591493663268
10,35.02812532120391,15.76265639454176,57.796406779986455
11,129.27218641795116,58.17248388807803,213.29910758961947
12,33.135071590610956,14.910782215774931,54.67286812450808
13,52.93379753129288,23.8202088890818,87.34076592663328
14,204.10719775070953,91.8482389878193,336.77687628867073
15,69.28804693650676,31.179621121428053,114.32527744523617
16,55.31628467391252,24.892328103260628,91.2718697119556
17,2.70519685987439,1.2173385869434754,4.463574818792743
18,20.64000147954165,9.28800066579374,34.05600244124372
19,1.5644636712262328,0.7040086520518049,2.5813650575232847
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,38.184573125189985,17.183057906335492,63.004545656563494
24,31.538812331921157,14.192465549364519,52.0390403476699
25,0.0,0.0,0.0
26,58.652418615021524,26.39358837675969,96.77649071478554
27,97.98248158119782,44.09211671153902,161.6710946089764
28,28.20961113808845,12.694325012139803,46.545858377845946
29,149.19996649745897,67.13998492385653,246.17994472080733
30,52.67838333328796,23.705272499979575,86.91933249992512
31,157.5321239326336,70.88945576968514,259.9280044888455
32,34.963310109369594,15.733489549216314,57.68946168045983
33,26.218506863858405,11.79832808873628,43.26053632536637
34,18.56185731007118,8.35283578953203,30.627064561617445
35,10.731734106605211,4.829280347972346,17.707361275898602
36,8.872071188106716,3.9924320346480218,14.63891746037608
37,53.44109417182491,24.048492377321217,88.17780538351113
38,180.560360279578,81.25216212581009,297.9245944613036
39,11.058035620703516,4.976116029316582,18.245758774160798
40,1.8425595793365774,0.8291518107014599,3.0402233059053536
41,6.6639939671288335,2.998797285207976,10.995590045762578
42,1.5503029440621923,0.6976363248279865,2.557999857702617
43,12.994654641303063,5.84759458858638,21.44118015815006
44,70.71674635928518,31.822535861678336,116.68263149282055
45,0.0,0.0,0.0
